objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Nature","330152","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","133585158","5.86772","7.03916","2.2059","4068","2161","thing","Nature","1","4","45","45","30","2025","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","109","USD","","","","Kickstarter.com","","","","","NorthStar Game Studio","English","2025","English edition"
"Nekojima","359029","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126571419","6.24125","7.16057","1.102","2046","4310","thing","Nekojima","1","5","30","30","15","2023","2,3,4,5","2","6+","No necessary in-game text","","","","","","standalone","","29.59","USD","","","2025-07-26","Gamenerdz.com","","","","","Unfriendly Games","English; French","2023","English/French edition"
"Nidavellir","293014","8.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","121955186","7.26874","7.55587","2.1188","252","20456","thing","Nidavellir","2","5","45","45","45","2020","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","0","2","0","1","0","0","0","0","0","0","0","2","","","","","","124961427","6.9555","7.08169","1.1305","547","45455","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Northgard: Uncharted Lands","274124","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130557542","6.5169","7.58115","2.7596","1265","4648","thing","Northgard: Uncharted Lands","2","5","90","90","45","2022","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nusfjord: Big Box","378979","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133864219","6.24171","8.30363","2.9524","0","2919","thing","Nusfjord: Big Box","1","5","120","120","60","2024","1,2,3,4,5","3","12+","","","","","","","standalone","","52.79","USD","","","2025-07-06","Tabletopmerchant.com","","","","","Lookout Games","English","2024","English edition"
"Oddland","428636","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133242185","5.70994","6.97689","1.6","6000","1511","thing","Oddland","1","5","40","40","40","2025","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Oddland: The Big and the Bold","431706","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133242188","5.53097","7.27692","2","0","717","thing","Oddland: The Big and the Bold","1","5","40","40","40","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Okägo","303150","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","134882803","0","8","2","0","5","thing","Okägo","2","2","15","15","10","2020","1,2","1","","","","","","","","standalone","","30","USD","","","2025-08-01","Layton Fest","","","","","(Self-Published)","English","2020","English edition"
"One Deck Dungeon","179275","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004727","6.65014","6.93375","2.095","994","26833","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004022","6.85746","7.034","1.3813","667","58139","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onitama","160477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132039927","7.14073","7.33968","1.6589","349","38489","thing","Onitama","2","2","20","20","15","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onitama: Light and Shadow","342274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202890","5.7096","7.44336","3","0","2443","thing","Onitama: Light and Shadow","2","2","20","20","15","2022","2","2","14+","","","","","","","expansion","","9.99","USD","","","2025-04-28","Arcanewonders.com","","","","","Arcane Wonders","English","2022","English edition"
"Patchwork","163412","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","125959807","7.47457","7.58135","1.5987","143","120341","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pergola","424573","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134039128","6.20235","7.32088","2.0182","2193","3375","thing","Pergola","1","4","60","60","45","2025","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","31.5","USD","","","2025-07-03","Manyrealms.com","","","","","Rebel Studio","English; Polish","2025","English/Polish edition"
"The Pillars of the Earth","24480","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248285","7.03525","7.25749","2.8135","451","23877","thing","The Pillars of the Earth","2","4","120","120","90","2006","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Poetry for Neanderthals","312786","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004083","6.14361","6.6598","1.1087","2419","11162","thing","Poetry for Neanderthals","2","12","15","15","15","2020","4,5,6,7,8,9,10,12","6,8","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Point Galaxy","431998","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138214002","5.93471","7.15339","1.8889","3550","3345","thing","Point Galaxy","1","5","30","30","15","2025","1,2,3,4","3","8","No necessary in-game text","","","","","","standalone","","18.22","USD","","","2025-11-04","Miniaturemarket.com","","","","","","","",""
"Point Salad","274960","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125427538","6.92215","7.09831","1.1523","589","38661","thing","Point Salad","2","6","30","30","15","2019","2,3,4,5,6","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"QE","266830","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133247789","6.90841","7.34041","1.5693","604","12026","thing","QE","3","5","45","45","45","2019","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"QE: Commodities","360699","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247795","5.91906","7.93362","2.375","0","2795","thing","QE: Commodities","3","5","0","0","0","2022","3,4,5","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Quacks","244521","9.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","122223355","7.66761","7.80503","1.9417","77","91505","thing","Quacks","2","4","45","45","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg: MegaBox","349955","9.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","122223370","6.59499","8.24171","2.0541","0","5773","thing","The Quacks of Quedlinburg: MegaBox","2","5","60","60","45","2021","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Quarriors!","91536","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006193","6.50713","6.72879","1.969","1285","18402","thing","Quarriors!","2","4","30","30","30","2011","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Quoridor","624","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006556","6.3616","6.64736","1.8264","1660","15563","thing","Quoridor","2","4","15","15","15","1997","2,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy","28143","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","125959802","7.61846","7.73804","2.9917","92","73241","thing","Race for the Galaxy","2","4","60","60","30","2021","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","24.99","USD","","","2025-04-14","Cardhaus.com","1","","","","Rio Grande Games","English","2021","English second edition, third printing"
"Race for the Galaxy: Expansion and Brinkmanship","270439","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006394","5.9889","8.41648","3.1818","0","3199","thing","Race for the Galaxy: Expansion and Brinkmanship","1","6","60","60","30","2022","1,2,3,4,5","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","31.99","USD","","","2025-04-14","Cardhaus.com","1","","","2025-04-14","","","",""
"Railroad Ink Challenge: Lush Green Edition","306881","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","131805311","6.77504","7.57654","2.1143","784","10393","thing","Railroad Ink Challenge: Lush Green Edition","1","4","30","30","15","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink: Archipelago Boards Set","400945","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","132321938","5.53832","7.69872","0","0","480","thing","Railroad Ink: Archipelago Boards Set","1","4","30","30","15","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Railroad Ink: Blazing Red Edition","251678","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","131834688","6.68585","7.06286","1.4706","921","15297","thing","Railroad Ink: Blazing Red Edition","1","6","30","30","20","2018","1,2,3,4,5,6","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink: Deep Blue Edition","245654","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","132039866","6.89615","7.15029","1.4586","616","23222","thing","Railroad Ink: Deep Blue Edition","1","6","30","30","20","2018","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink: Eldritch Expansion Pack","320730","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131806306","5.71108","7.45986","2.5","0","3233","thing","Railroad Ink: Eldritch Expansion Pack","1","4","30","30","15","2021","1,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ready Set Bet","351040","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","130549873","7.06116","7.52132","1.3145","429","15778","thing","Ready Set Bet","2","9","60","60","45","2022","4,5,6,7,8,9","6,7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rebel Princess: Deluxe Edition","418556","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","134060811","6.33828","7.8535","1.8095","0","3766","thing","Rebel Princess: Deluxe Edition","3","6","45","45","45","2024","3,4,5,6","4","8+","","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2024","English edition"
"Rebuilding Seattle","368463","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","132980014","5.86812","7.49218","2.3333","4061","859","thing","Rebuilding Seattle","1","5","120","120","60","2023","1,2,3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Reckoners","208024","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006977","6.51345","7.64609","2.7119","1274","4012","thing","The Reckoners","1","6","100","100","60","2018","1,2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Reckoners: Steelslayer","319115","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006981","5.70717","8.31609","3","0","1335","thing","The Reckoners: Steelslayer","1","6","100","100","60","2022","1,2,3,4,5,6","3,4","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Reload","293547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135696289","5.68406","6.97048","2.8947","6536","1224","thing","Reload","2","4","60","60","60","2022","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","10.71","USD","","","2025-08-23","Miniaturemarket.com","","tax
sale price
msrp of 50","","","Kolossal Games","English; French","2022","English/French edition"
"Renature","300001","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006639","6.39531","7.09152","2.2237","1580","5310","thing","Renature","2","4","60","60","45","2020","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","21.49","USD","","","2025-05-07","Cardhaus.com","","","","","","","",""
"Res Arcana","262712","9","10","0","1","0","0","0","0","0","0","0","3","","","","","","133215315","7.39629","7.61965","2.658","177","34204","thing","Res Arcana","2","4","60","60","30","2019","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","29.96","USD","","","2025-06-13","Gamersguildaz.com","","","","","Sand Castle Games","English","2019","English edition"
"Res Arcana Duo","427345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133215321","6.05872","7.88767","2.6154","2822","2919","thing","Res Arcana Duo","2","2","60","60","20","2024","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","19.92","USD","","","2025-06-13","Gamersguildaz.com","","","","","Sand Castle Games","English","2024","English edition"
"Res Arcana: Lux et Tenebrae","288168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573343","7.0587","8.18992","2.75","0","13184","thing","Res Arcana: Lux et Tenebrae","2","5","60","60","30","2019","2,3,4,5","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","17.99","USD","","","2025-08-19","Cardhaus.com","1","","","","Sand Castle Games","English","2019","English edition"
"Ride the Rails","297486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248229","6.30032","7.12393","2.2885","1835","4100","thing","Ride the Rails","3","5","60","60","45","2020","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","23.91","USD","","","2025-06-13","Gamersguildaz.com","","","","","Capstone Games","English","2020","English edition"
"River of Gold","399941","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134039150","6.74691","7.571","2.5","823","5554","thing","River of Gold","2","4","90","90","60","2024","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","35","USD","","","2025-07-03","Manyrealms.com","","","","","Office Dog","English","2024","English edition"
"Roland Wright: The Dice Game","229782","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136791844","5.58619","6.35109","2","10028","1006","thing","Roland Wright: The Dice Game","1","5","30","30","20","2020","1,3,4,5","1,2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","5.33","","","","2025-09-26","miniaturemarket.com","","","","","","","",""
"Roll Player","169426","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133725637","7.2089","7.42195","2.4243","293","33868","thing","Roll Player","1","4","90","90","60","2016","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","41.99","USD","","","2025-06-28","Tabletopmerchant.com","","","","","Thunderworks Games","English","2016","English edition"
"Roll Player: Fiends & Familiars","255601","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136445190","6.41518","7.83848","3","0","8685","thing","Roll Player: Fiends & Familiars","1","4","120","120","60","2020","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","50.74","USD","","","2025-09-13","Tabletopmerchant.com","","","","","Thunderworks Games","English","2020","English big box edition"
"Roll Player: Lockup Pack","261336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136445193","5.69346","7.73759","2.75","0","2117","thing","Roll Player: Lockup Pack","1","4","90","90","60","2019","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","5.23","USD","","","2025-09-13","Tabletopmerchant.com","","","","","Thunderworks Games","English","2019","English edition"
"Roll Player: Monsters & Minions","213360","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136445192","7.17223","8.0079","2.7792","0","16429","thing","Roll Player: Monsters & Minions","1","5","120","120","60","2018","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","35.74","USD","","","2025-09-13","Tabletopmerchant.com","","","","","Thunderworks Games","English","2018","English edition"
"Roll to the Top: Journeys","370193","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","133531826","5.74861","6.40822","1.1111","5378","1025","thing","Roll to the Top: Journeys","1","6","20","20","20","2023","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rolling Realms","305682","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","126869373","6.58755","7.12088","2","1114","11774","thing","Rolling Realms","1","6","30","30","30","2021","1,2,3,4,5,6","1,2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rolling Realms: Vantage Promo Pack","449876","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660816","0","7.55","0","0","630","thing","Rolling Realms: Vantage Promo Pack","1","6","30","30","10","2025","","","","","","","","","","expansion","","4","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2025","English edition"
"Rome & Roll","267009","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573379","5.9179","6.83293","3.2745","3669","2842","thing","Rome & Roll","1","4","90","90","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","17.99","USD","","","2025-08-18","Cardhaus.com","1","","","","","","",""
"Root","237182","0","2","0","1","0","0","0","0","0","0","0","2","","","","","","133290437","7.87935","8.06887","3.8392","34","98020","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: Landmarks Pack","334486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136285640","6.19037","7.94413","2.625","0","8010","thing","Root: Landmarks Pack","2","4","90","90","60","2022","3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Leder Games","English","2022","English edition"
"Root: Marauder Hirelings Pack & Hireling Box","336276","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136285651","6.42015","8.48099","3.9091","0","9174","thing","Root: Marauder Hirelings Pack & Hireling Box","2","4","90","90","60","2022","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Leder Games","English","2022","English edition"
"Root: The Marauder Expansion","330149","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133725679","7.39651","8.83204","3.9767","0","17935","thing","Root: The Marauder Expansion","2","6","90","90","60","2023","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","40","USD","","","2025-06-28","Tabletopmerchant.com","","","","","Leder Games","English","2023","English first edition, second printing"
"Root: The Riverfolk Expansion","241386","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136285631","7.75671","8.42701","3.8742","0","37412","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2024","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Leder Games","English","2024","English edition, sixth printing"
"Root: The Underworld Expansion","272637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136285628","7.75456","8.71105","3.6344","0","27778","thing","Root: The Underworld Expansion","2","6","90","90","60","2024","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Leder Games","English","2024","English edition, fourth printing"
"Ruins","428635","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133200865","6.03233","7.12959","2.28","2953","3605","thing","Ruins","2","5","40","40","40","2025","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rumblebots","426045","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157621","5.56874","6.68864","2.3333","11239","260","thing","Rumblebots","2","4","60","60","60","2024","2,3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","17.97","USD","","","2025-08-22","gamenerdz.com","","","","","","","",""
"Sagrada","199561","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133006850","7.32473","7.4688","1.9198","220","78272","thing","Sagrada","1","4","45","45","30","2023","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","32.95","USD","","","2024-05-11","Cardhaus.com","1","","","","Floodgate Games","English","2023","English edition 2023"
"Sail","377470","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202483","6.64046","7.28272","2.236","1016","11118","thing","Sail","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2025-06-20","allplay.com","","Purchased as part of the Leviathan Wilds second kickstarter fulfillment","","","Allplay","English","2023","English edition"
"Sail: Seafarers Expansion","393101","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247781","5.66333","7.62821","2","0","2210","thing","Sail: Seafarers Expansion","2","2","0","0","0","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Saltfjord","422674","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134648800","6.55991","7.84594","3.0267","1170","3646","thing","Saltfjord","1","4","90","90","45","2024","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","52.79","USD","","","2025-07-26","Gamenerdz.com","","","","","Aporta Games","English","2024","English edition"
"Salton Sea","402663","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121646579","6.34","7.43996","3.8529","1725","4535","thing","Salton Sea","1","4","120","120","120","2024","1,2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini: Hiding in the Underworld","432117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363752","0","8.09815","0","0","242","thing","Santorini: Hiding in the Underworld","2","4","30","30","30","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Santorini: Seasons of Chaos","432115","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363767","0","8.01667","0","0","244","thing","Santorini: Seasons of Chaos","2","4","30","30","30","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Santorini: Second Edition","439107","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","133006697","5.7062","8.17495","2.1429","6073","760","thing","Santorini: Second Edition","2","4","30","30","30","2025","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini: Second Edition","439107","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","133006757","5.7062","8.17495","2.1429","6073","760","thing","Santorini: Second Edition","2","4","30","30","30","2025","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini: Soaring over Olympus","432112","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363761","0","8.2075","0","0","233","thing","Santorini: Soaring over Olympus","2","4","30","30","30","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"SCOUT","291453","9","31","0","1","0","0","0","0","0","0","0","3","","","","","","121954890","7.58317","7.7998","1.3852","102","51426","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","19.95","USD","","","2024-05-11","Cardhaus.com","1","","","","","","",""
"Scythe","169786","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","133006915","7.95236","8.10615","3.4524","24","126056","thing","Scythe","1","5","115","115","115","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42","276229","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660764","5.97298","8.31413","2.5","0","3491","thing","Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42","1","7","150","150","75","2018","4","4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Stonemaier Games","English","2018","English edition"
"Scythe: Encounters","262151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660561","6.98025","8.09857","2.6923","0","16893","thing","Scythe: Encounters","1","7","115","115","90","2018","1,2,3,4,5,6,7","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","13.13","USD","","","2025-06-13","Amazon.com","","","","","Stonemaier Games","English","2018","English edition"
"Scythe: Invaders from Afar","199727","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006929","7.77338","8.26831","3.4477","0","44561","thing","Scythe: Invaders from Afar","1","7","140","140","90","2016","1,2,3,4,5,6,7","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Scythe: Modular Board","279304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660604","6.64464","8.23966","3.2778","0","10144","thing","Scythe: Modular Board","1","5","115","115","90","2019","2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","20","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2019","English edition"
"Scythe: Promo Pack #1 – Encounter Cards 29-32","211731","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660672","6.27386","8.22967","2.9167","0","6339","thing","Scythe: Promo Pack #1 – Encounter Cards 29-32","1","5","115","115","90","2016","1,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Stonemaier Games","English","2016","English edition"
"Scythe: Promo Pack #2 – Encounter Cards 33-36","205121","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660691","6.28317","8.20779","2.9091","0","6450","thing","Scythe: Promo Pack #2 – Encounter Cards 33-36","1","5","180","180","60","2016","1,2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Stonemaier Games","English","2016","English edition"
"Scythe: Promo Pack #3 – Objective Cards 24-27","211732","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660737","6.2482","8.19092","2.9091","0","6084","thing","Scythe: Promo Pack #3 – Objective Cards 24-27","1","5","115","115","90","2016","1,2,3,4,5","1,2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Stonemaier Games","English","2016","English edition"
"Scythe: Promo Pack #4 – Factory Cards 13-18","211733","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660707","6.29771","8.25943","3.2222","0","6275","thing","Scythe: Promo Pack #4 – Factory Cards 13-18","1","5","115","115","90","2016","4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Stonemaier Games","English","2016","English edition"
"Scythe: The Rise of Fenris","242277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114899815","7.93141","8.6947","3.4144","0","31331","thing","Scythe: The Rise of Fenris","1","5","150","150","75","2018","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","39.2","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2018","English edition"
"Scythe: The Wind Gambit","223555","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660581","7.18378","7.7697","3.4149","0","33583","thing","Scythe: The Wind Gambit","1","7","140","140","70","2017","1,2,3,4,5,6,7","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","24","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2017","English edition"
"Sea Salt & Paper","367220","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","125175986","7.24471","7.50413","1.4821","268","43678","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Seaside","406660","0","7","0","1","0","0","0","0","0","0","0","2","","","","","","126571403","6.08738","7.115","1.2","2680","3368","thing","Seaside","1","5","20","20","20","2024","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
